Date : 2026-02-21 14:19:38
Directory : /home/rxbru/myspace/Projects/Concice/Concize
Total : 92 files,  16054 codes, 1179 comments, 1408 blanks, all 18641 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         82 |      7,646 |      1,161 |      1,258 |     10,065 |
| JSON           |          3 |      7,520 |          0 |          2 |      7,522 |
| PostCSS        |          2 |        620 |          2 |         99 |        721 |
| HTML           |          4 |        179 |         16 |         17 |        212 |
| Markdown       |          1 |         89 |          0 |         32 |        121 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         92 |     16,054 |      1,179 |      1,408 |     18,641 |
| . (Files)                                                                                          |          1 |         89 |          0 |         32 |        121 |
| backend                                                                                            |         78 |     12,134 |      1,051 |      1,101 |     14,286 |
| backend (Files)                                                                                    |          4 |      7,602 |         27 |         31 |      7,660 |
| backend/configs                                                                                    |          8 |        160 |         54 |         47 |        261 |
| backend/controllers                                                                                |          3 |        468 |        101 |        112 |        681 |
| backend/db                                                                                         |          7 |        398 |        114 |         58 |        570 |
| backend/db/cloudinary-utils                                                                        |          1 |         79 |          8 |         12 |         99 |
| backend/db/models                                                                                  |          3 |         87 |         12 |         11 |        110 |
| backend/db/mongoutils                                                                              |          3 |        232 |         94 |         35 |        361 |
| backend/middlewares                                                                                |          2 |         59 |         15 |         19 |         93 |
| backend/routes                                                                                     |          5 |         60 |         35 |         25 |        120 |
| backend/routes/v1                                                                                  |          5 |         60 |         35 |         25 |        120 |
| backend/services                                                                                   |         14 |      1,131 |        379 |        279 |      1,789 |
| backend/services (Files)                                                                           |          6 |        492 |        156 |        117 |        765 |
| backend/services/embedding                                                                         |          3 |        301 |        107 |         75 |        483 |
| backend/services/retrieval                                                                         |          1 |         78 |         23 |         18 |        119 |
| backend/services/transcription                                                                     |          4 |        260 |         93 |         69 |        422 |
| backend/tests                                                                                      |         19 |      1,506 |         79 |        353 |      1,938 |
| backend/utils                                                                                      |         14 |        498 |        215 |        123 |        836 |
| backend/utils (Files)                                                                              |          3 |        104 |         46 |         25 |        175 |
| backend/utils/llm                                                                                  |          6 |        152 |         50 |         33 |        235 |
| backend/utils/llmSecurity                                                                          |          5 |        242 |        119 |         65 |        426 |
| backend/workers                                                                                    |          2 |        252 |         32 |         54 |        338 |
| frontend                                                                                           |         13 |      3,831 |        128 |        275 |      4,234 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                           | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/rxbru/myspace/Projects/Concice/Concize/README.md                                             | Markdown       |         89 |          0 |         32 |        121 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/appConfig.js                          | JavaScript JSX |         69 |         16 |         18 |        103 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/auth.js                               | JavaScript JSX |          6 |          2 |          3 |         11 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/chunking.js                           | JavaScript JSX |          6 |          8 |          5 |         19 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/database.js                           | JavaScript JSX |          9 |          2 |          3 |         14 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/inference.js                          | JavaScript JSX |         54 |         20 |         11 |         85 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/queues.js                             | JavaScript JSX |          6 |          2 |          3 |         11 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/server.js                             | JavaScript JSX |          5 |          2 |          2 |          9 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/configs/storage.js                            | JavaScript JSX |          5 |          2 |          2 |          9 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/controllers/audioController.js                | JavaScript JSX |        136 |         29 |         33 |        198 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/controllers/chatLLM.js                        | JavaScript JSX |        272 |         57 |         63 |        392 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/controllers/meetingController.js              | JavaScript JSX |         60 |         15 |         16 |         91 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/db/cloudinary-utils/audio.db.js               | JavaScript JSX |         79 |          8 |         12 |         99 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/db/models/chat.model.js                       | JavaScript JSX |         21 |          5 |          4 |         30 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/db/models/meeting.model.js                    | JavaScript JSX |         27 |          7 |          4 |         38 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/db/models/meetingSummary.model.js             | JavaScript JSX |         39 |          0 |          3 |         42 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/db/mongoutils/chat.db.js                      | JavaScript JSX |         56 |         33 |         11 |        100 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/db/mongoutils/summary.db.js                   | JavaScript JSX |         84 |         29 |         12 |        125 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/db/mongoutils/transcription.db.js             | JavaScript JSX |         92 |         32 |         12 |        136 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/jest.config.js                                | JavaScript JSX |         14 |          0 |          1 |         15 |
| /home/rxbru/myspace/Projects/Concice/Concize/backend/middlewares/requestLogger.js                  | JavaScript JSX |         23 |         11 |          9 |         43 |
